branded_food_category,"Carbohydrate, by difference_count","Carbohydrate, by difference_mean","Carbohydrate, by difference_std","Carbohydrate, by difference_min","Carbohydrate, by difference_25%","Carbohydrate, by difference_50%","Carbohydrate, by difference_75%","Carbohydrate, by difference_max",Cholesterol_count,Cholesterol_mean,Cholesterol_std,Cholesterol_min,Cholesterol_25%,Cholesterol_50%,Cholesterol_75%,Cholesterol_max,Energy_count,Energy_mean,Energy_std,Energy_min,Energy_25%,Energy_50%,Energy_75%,Energy_max,"Fiber, total dietary_count","Fiber, total dietary_mean","Fiber, total dietary_std","Fiber, total dietary_min","Fiber, total dietary_25%","Fiber, total dietary_50%","Fiber, total dietary_75%","Fiber, total dietary_max",Protein_count,Protein_mean,Protein_std,Protein_min,Protein_25%,Protein_50%,Protein_75%,Protein_max,"Sugars, total including NLEA_count","Sugars, total including NLEA_mean","Sugars, total including NLEA_std","Sugars, total including NLEA_min","Sugars, total including NLEA_25%","Sugars, total including NLEA_50%","Sugars, total including NLEA_75%","Sugars, total including NLEA_max",Total lipid (fat)_count,Total lipid (fat)_mean,Total lipid (fat)_std,Total lipid (fat)_min,Total lipid (fat)_25%,Total lipid (fat)_50%,Total lipid (fat)_75%,Total lipid (fat)_max,PE_ratio_count,PE_ratio_mean,PE_ratio_std,PE_ratio_min,PE_ratio_25%,PE_ratio_50%,PE_ratio_75%,PE_ratio_max
Baking/Cooking Mixes (Shelf Stable),5.0,75.816,4.016874406799395,71.43,71.43,78.26,78.79,79.17,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,389.6,41.034132134114884,333.0,375.0,381.0,424.0,435.0,5.0,1.44,2.0169283576765933,0.0,0.0,0.0,3.0,4.2,5.0,4.214,0.7103731413841602,3.03,4.17,4.35,4.76,4.76,5.0,39.512,12.445666715768986,23.81,28.57,45.83,47.83,51.52,5.0,7.128,2.1783181585801463,4.76,4.76,8.33,8.7,9.09,5.0,1.1010791805919724,0.26901729239043864,0.714622641509434,0.9999999999999999,1.112,1.2493438320209973,1.4294294294294294
Baking/Cooking Mixes/Supplies,2131.0,65.085664007508,13.891730696847063,21.0,53.79,67.02,77.3,94.37,2131.0,2.7855466916940403,7.964975997892084,0.0,0.0,0.0,0.0,157.0,2131.0,379.7550445800094,54.77443345413087,150.0,349.0,383.0,419.5,647.0,2131.0,1.9345847020178253,1.7288576797245034,0.0,1.0,1.6,2.7,8.0,2131.0,5.08715626466448,2.7656299969924993,0.0,3.62,4.65,6.0,14.29,2131.0,30.269483810417633,20.061558515281444,0.0,8.29,34.62,47.0,91.3,2131.0,11.190722665415286,6.717174319534355,0.0,5.04,10.29,16.0,50.0,2131.0,1.3986533029217152,0.8166159217365914,0.0,0.9083969465648855,1.2500000000000002,1.8205804749340369,4.002801120448179
Baking/Cooking Mixes/Supplies Variety Packs,1.0,73.33,,73.33,73.33,73.33,73.33,73.33,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,367.0,,367.0,367.0,367.0,367.0,367.0,1.0,6.7,,6.7,6.7,6.7,6.7,6.7,1.0,13.33,,13.33,13.33,13.33,13.33,13.33,1.0,3.33,,3.33,3.33,3.33,3.33,3.33,1.0,1.67,,1.67,1.67,1.67,1.67,1.67,1.0,3.6321525885558583,,3.6321525885558583,3.6321525885558583,3.6321525885558583,3.6321525885558583,3.6321525885558583
Baking/Cooking Supplies (Shelf Stable),18.0,71.35722222222223,5.55172448625126,67.1,67.2,67.45,75.6,86.4,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,461.27777777777777,45.67765003169822,357.0,430.25,485.0,498.0,498.0,18.0,2.8944444444444444,1.167940481069246,1.1,2.4,2.4,3.4,5.2,18.0,6.09111111111111,1.344272770328162,4.9,5.0,5.15,7.4,8.1,18.0,22.149999999999995,7.524176718692727,0.0,19.2,26.6,26.6,29.4,18.0,17.064999999999994,7.607074300397276,0.4,11.225,22.0,23.2,23.2,18.0,1.358967669535633,0.4338123176731509,1.0040160642570282,1.0040160642570282,1.0689844264093002,1.842351197189907,2.026666666666667
Beef - Prepared/Processed,2.0,4.635,1.590990257669732,3.51,4.0725,4.635,5.1975,5.76,2.0,47.0,4.242640687119285,44.0,45.5,47.0,48.5,50.0,2.0,190.5,45.96194077712559,158.0,174.25,190.5,206.75,223.0,2.0,0.35,0.49497474683058323,0.0,0.175,0.35,0.5249999999999999,0.7,2.0,13.495,0.7707463914933367,12.95,13.2225,13.495,13.767499999999998,14.04,2.0,0.72,1.0182337649086284,0.0,0.36,0.72,1.08,1.44,2.0,12.3,4.992173875177026,8.77,10.535,12.3,14.065,15.83,2.0,7.346625418629732,2.1771118191712278,5.807174887892376,6.576900153261054,7.346625418629732,8.11635068399841,8.886075949367088
Biscuits/Cookies,4265.0,67.69193669402132,6.4706603457646485,6.25,63.79,66.67,72.0,92.86,4265.0,11.041500586166471,17.537039697450542,0.0,0.0,0.0,17.0,107.0,4265.0,467.3242672919109,42.06913962740908,31.0,452.0,467.0,500.0,635.0,4265.0,3.47955451348179,2.5841257150995847,0.0,1.9,3.3,4.0,19.2,4265.0,7.0661992966001925,2.845363369444001,0.0,4.55,6.67,9.6,16.67,4265.0,19.296030480656604,15.926926374750657,0.0,2.4,20.0,33.33,61.9,4265.0,19.009992966002162,5.961709552857592,0.0,15.0,18.75,24.14,33.33,4265.0,1.5412513241689747,0.8124656952686713,0.0,1.0,1.4987012987012986,2.0,20.161290322580644
Biscuits/Cookies (Shelf Stable),516.0,66.76951550387597,6.15285703293359,41.3,61.6,67.0,71.5,83.1,516.0,2.64922480620155,6.149198335930217,0.0,0.0,1.0,3.0,66.0,516.0,475.05232558139534,38.24813180815735,171.0,455.0,484.0,502.0,553.0,516.0,2.9961240310077533,2.410999167674718,0.0,1.7,2.2,3.3,17.6,516.0,7.291899224806195,2.5758752075693163,2.4,5.074999999999999,7.2,9.3,14.5,516.0,16.166782945736443,14.444048921341832,0.0,1.8,11.0,30.8025,53.0,516.0,20.613585271317806,5.53147355975143,7.3,16.0,21.9,24.625,34.4,516.0,1.5503047889474775,0.568568927175041,0.4528301886792453,1.0510315630872786,1.5560202332124013,1.9564800047256188,3.526448362720403
Bread,1883.0,44.989224641529496,8.359660370053545,11.74,41.94,46.67,50.0,69.41,1883.0,9.172596919808816,16.780968580002614,0.0,0.0,0.0,12.0,94.0,1883.0,263.7902283590016,47.898327829073104,100.0,241.0,263.0,292.0,376.0,1883.0,2.6974508762612994,2.130317035498578,0.0,1.8,2.1,3.5,20.5,1883.0,7.707615507169446,6.204693348609595,0.0,5.41,7.14,8.77,101.38,1883.0,8.044609665427496,8.121937938103553,0.0,2.0,4.13,13.285,29.2,1883.0,6.236872012745623,4.7329849440308305,0.0,2.2,4.88,9.09,20.0,1883.0,3.0810157162321725,3.3957488992113536,0.0,2.0805860805860807,2.8528138528138527,3.336448598130841,54.505376344086024
Bread & Muffin Mixes,3402.0,71.56781599059302,10.84676479235581,7.02,67.86,72.22,76.67,233.33,3402.0,2.7207524985302762,12.677910217777397,0.0,0.0,0.0,0.0,183.0,3402.0,365.4700176366843,40.257716680987244,47.0,350.0,367.0,387.0,562.0,3402.0,4.194826572604392,3.476497684516614,0.0,2.5,3.6,6.7,46.4,3402.0,10.06438271604949,5.643793950869028,0.0,6.385,10.0,13.33,52.38,3402.0,12.552889476778256,14.726767683871204,0.0,3.33,6.67,16.67,84.62,3402.0,4.2192004703115815,4.879198669912513,0.0,0.0,3.33,5.36,50.0,3402.0,2.759568665152187,1.4683498015795433,0.0,1.6696696696696696,2.7251908396946565,3.6321525885558583,13.331444759206798
Bread/Bakery Products Variety Packs,54.0,49.304814814814826,6.66229399575057,40.0,46.0,48.5,49.0,65.0,54.0,1.3888888888888888,10.206207261596594,0.0,0.0,0.0,0.0,75.0,54.0,318.55555555555554,48.375756701864496,258.0,290.0,310.0,310.0,452.0,54.0,3.7740740740740737,0.8521194851961864,1.5,4.0,4.0,4.0,6.5,54.0,6.145555555555556,0.8111014329855388,4.0,6.0,6.0,6.0,8.0,54.0,2.367037037037037,3.884573568607389,0.0,2.0,2.0,2.0,30.09,54.0,10.524814814814814,2.4886025029903007,6.82,9.0,10.0,11.655,19.35,54.0,1.9398799887326847,0.16332091230759221,1.3333333333333333,1.935483870967742,1.935483870967742,2.0,2.2193308550185873
Breads & Buns,32961.0,50.05569157489141,8.184276478118203,0.0,46.43,50.0,53.33,500.0,32961.0,12.23370043384606,645.2709870647988,0.0,0.0,0.0,0.0,57143.0,32961.0,273.9981189891083,60.14029811720316,12.0,246.0,265.0,283.0,2750.0,32961.0,3.5611176845366423,3.444822555671786,0.0,1.8,2.5,4.4,162.9,32961.0,9.214332999606132,3.071301568400715,0.0,7.69,8.93,10.53,125.81,32961.0,5.620918054671105,5.231231023036215,0.0,2.33,4.71,7.14,94.12,32961.0,4.556066563514632,4.51433840442537,0.0,2.33,3.49,4.69,58.82,32961.0,3.4892760388664383,1.9305132936027847,0.0,2.858736059479554,3.333333333333334,3.8409893992932864,85.79166666666667
Breakfast Drinks,272.0,34.087647058823556,41.15902067147759,1.18,9.7,11.705,75.0,218.18,272.0,9.977941176470589,19.91604775318708,0.0,4.0,4.0,14.0,136.0,272.0,202.00367647058823,259.2058336401319,17.0,63.0,93.0,361.0,1636.0,272.0,2.5937499999999964,5.690666721099321,0.0,0.0,0.9,1.8,36.4,272.0,12.074852941176456,21.144205856610153,0.34,4.22,5.49,13.89,136.36,272.0,22.18205882352942,30.32633301232424,0.48,5.06,6.33,50.0,163.64,272.0,2.558823529411764,5.0615697809780364,0.0,1.39,1.69,2.53,54.55,272.0,6.274136341408334,3.0542414184439406,2.0,4.095574723677354,5.540983606557377,7.696681819257996,20.045454545454547
Breakfast Foods,45.0,34.425333333333334,26.64228496547956,13.33,16.67,23.33,34.38,88.33,45.0,4.7555555555555555,22.29977125397921,0.0,0.0,0.0,0.0,107.0,45.0,567.2222222222222,129.26116777651936,167.0,531.0,633.0,633.0,700.0,45.0,5.984444444444444,3.788616655405527,0.0,3.3,6.7,10.0,10.0,45.0,18.29288888888889,10.818252174034868,0.0,16.67,23.33,26.67,30.0,45.0,15.617777777777775,18.72063772331693,0.0,3.33,6.67,21.88,55.0,45.0,40.06311111111111,20.916536392205686,0.0,40.62,50.0,53.33,63.33,45.0,2.905670911050593,1.6845419663532244,0.0,2.63349131121643,3.6856240126382307,3.998500749625187,4.739336492890995
"Breakfast Sandwiches, Biscuits & Meals",841.0,25.41565992865637,131.48574602114334,0.0,6.1,18.97,26.73,2700.0,841.0,110.14625445897741,188.13736436413362,0.0,26.0,79.0,146.0,3000.0,841.0,318.6563614744352,1647.9234435554345,66.0,176.0,225.0,292.0,34000.0,841.0,1.5054696789536284,5.049513748334111,0.0,0.5,0.9,1.6,100.0,841.0,11.944732461355537,33.85363198431636,0.0,8.31,10.1,12.5,700.0,841.0,5.888953626634957,39.20906324829201,0.0,0.89,1.68,3.91,800.0,841.0,18.698715814506564,106.76657605113238,0.0,9.29,13.13,16.92,2200.0,841.0,4.763158047900979,2.357179594142569,0.0,3.048780487804878,4.313953488372093,6.017045454545454,20.06741573033708
Butter & Spread,2940.0,6.750207482993186,14.97650266620141,0.0,0.0,0.0,6.67,78.57,2940.0,535.7833333333333,9668.267238938543,0.0,0.0,71.0,214.0,214286.0,2940.0,612.7816326530613,178.14115407493512,67.0,500.0,667.0,714.0,1429.0,2940.0,0.3146598639455785,1.6375109286549858,0.0,0.0,0.0,0.0,20.0,2940.0,1.0683605442176873,4.308777928022245,0.0,0.0,0.0,0.0,123.08,2940.0,4.603241496598636,11.646399858877528,0.0,0.0,0.0,0.0,78.57,2940.0,64.82314285714399,22.756870707460326,0.0,50.0,73.33,78.57,150.0,2940.0,0.26465135306452486,0.8698036045067893,0.0,0.0,0.0,0.0,13.33477789815818
Butter/Butter Substitutes,46.0,1.7404347826086957,3.3578795931835983,0.0,0.0,0.0,0.0,9.09,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,466.0652173913044,88.88804498391674,286.0,429.0,429.0,545.0,636.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,51.63108695652174,10.622416387215372,28.57,50.0,50.0,62.3125,66.67,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cake, Cookie & Cupcake Mixes",10198.0,74.6032673073138,11.875949128783562,0.08,70.27,76.32,81.82,173.33,10198.0,22.24357717199451,857.7206853322,0.0,0.0,0.0,0.0,50000.0,10198.0,382.4918611492449,48.93773107179335,33.0,358.0,380.0,409.0,1067.0,10198.0,3.180868797803421,4.104836298060778,0.0,1.3,2.5,3.8,77.8,10198.0,6.807478917434706,5.393365725543037,0.0,3.57,5.43,8.11,45.83,10198.0,33.952420082369095,22.406504754590447,0.0,14.65,39.39,48.15,603.57,10198.0,6.829247891743482,6.710892237478994,0.0,2.0,5.279999999999999,9.665,53.57,10198.0,1.8126207842961484,1.4812322476188555,0.0,0.9529702970297029,1.4271844660194175,2.2225,31.057142857142857
Cakes - Sweet (Frozen),77.0,33.781168831168806,11.132284838303454,6.3,24.3,39.1,40.1,46.9,77.0,40.701298701298704,55.5077199313338,0.0,9.0,10.0,67.0,199.0,77.0,233.2207792207792,45.77336141441111,125.0,205.0,246.0,261.0,304.0,77.0,2.344155844155843,1.6782269392437825,0.9,1.2,1.6,3.1,9.3,77.0,6.625324675324677,2.390408787114601,3.75,5.3,5.7,6.3,12.1,77.0,6.874025974025975,4.33314649859243,1.2,3.0,5.7,10.3,17.9,77.0,8.501948051948055,2.4149676030087193,2.2,6.9,8.5,10.0,16.0,77.0,3.0816504829348337,1.6467930722060329,1.480263157894737,2.0242914979757085,2.3430962343096233,4.108527131782946,7.638888888888889
Cakes - Sweet (Shelf Stable),1.0,68.0,,68.0,68.0,68.0,68.0,68.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,360.0,,360.0,360.0,360.0,360.0,360.0,1.0,20.0,,20.0,20.0,20.0,20.0,20.0,1.0,4.0,,4.0,4.0,4.0,4.0,4.0,1.0,32.0,,32.0,32.0,32.0,32.0,32.0,1.0,12.0,,12.0,12.0,12.0,12.0,12.0,1.0,1.1111111111111112,,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112,1.1111111111111112
"Cakes, Cupcakes, Snack Cakes",27739.0,52.84011572154658,14.945010291389327,0.05,45.805,53.33,59.76,733.33,27739.0,99.39568838097985,2021.2853807097022,0.0,7.0,25.0,48.0,70423.0,27739.0,382.0938029489167,113.2504426939568,18.0,350.0,388.0,423.0,8289.0,27739.0,1.4903529326940896,2.163728172966607,0.0,0.0,1.3,2.0,44.4,27739.0,4.020562385089655,2.5200794241054703,0.0,2.78,3.64,4.71,88.89,27739.0,32.691520242257305,12.225465367561283,0.0,25.0,32.94,40.85,355.56,27739.0,17.67564872562057,8.108621217057827,0.0,14.0,17.78,21.13,511.11,27739.0,1.0891707352968172,0.7371563581137163,0.0,0.7405541561712846,0.9671232876712329,1.25,19.833333333333332
Candy,42872.0,76.10485025191396,17.94606986142876,0.0,66.67,76.67,87.5,1462.96,42872.0,5.237077813024818,48.19671983235875,0.0,0.0,0.0,0.0,5000.0,42872.0,402.91385986191455,107.34131014317393,5.0,335.0,381.0,472.0,7037.0,42872.0,1.27964872177647,3.6701138993099836,0.0,0.0,0.0,2.4,100.0,42872.0,3.4904592741185114,5.123998024684893,0.0,0.0,2.94,5.13,145.45,42872.0,57.11615413323438,18.463614293247115,0.0,47.5,55.81,67.5,1333.33,42872.0,10.17037413696602,13.197425982277965,0.0,0.0,0.0,21.43,111.11,42872.0,0.8320205381663304,1.1840756264668966,0.0,0.0,0.714,1.4258064516129032,33.244680851063826
Canned & Bottled Beans,11210.0,16.890956289027777,5.512682934204599,0.01,14.62,15.38,17.6,71.43,11210.0,0.19553969669937557,1.3333422281780978,0.0,0.0,0.0,0.0,32.0,11210.0,94.51864406779661,27.608620677453423,9.0,81.0,86.0,101.0,400.0,11210.0,4.8160838537021,2.2608316233134578,0.0,3.8,4.6,5.4,36.1,11210.0,5.344550401427281,1.6966347063505918,0.0,4.62,5.38,5.47,25.71,11210.0,2.376444246208909,3.615100409948318,0.0,0.77,0.77,1.67,36.15,11210.0,0.7370936663693507,1.3557837534777037,0.0,0.0,0.38,0.78,22.73,11210.0,5.791217073217508,1.5787222278094548,0.0,5.021739130434782,5.8478260869565215,6.329411764705882,62.22222222222222
Canned Condensed Soup,3632.0,9.774151982378902,4.490439619067227,0.0,7.2,8.0,12.0,66.04,3632.0,4.371145374449339,9.328924586454376,0.0,0.0,4.0,8.0,222.0,3632.0,69.13766519823788,25.473327902455654,4.0,56.0,65.0,80.0,407.0,3632.0,0.7737334801762177,1.1153610817164887,0.0,0.0,0.8,0.8,7.7,3632.0,2.0463298458150088,1.3557830251773506,0.0,1.6,1.63,2.44,18.87,3632.0,2.0192015418502782,2.9723640097141604,0.0,0.0,0.8,1.67,13.33,3632.0,2.4458012114537575,2.030128430780302,0.0,1.2,1.63,4.07,21.19,3632.0,3.106081369674576,2.0239302587041035,0.0,1.8181818181818181,2.5,4.285714285714286,38.75
Canned Fish and Meat,3.0,13.206666666666665,12.315178980970327,4.35,6.175,8.0,17.634999999999998,27.27,3.0,66.33333333333333,20.502032419575706,54.0,54.5,55.0,72.5,90.0,3.0,256.6666666666667,135.76941236277534,130.0,185.0,240.0,320.0,400.0,3.0,0.6,1.0392304845413265,0.0,0.0,0.0,0.9,1.8,3.0,19.19,2.465380295208023,17.39,17.785,18.18,20.09,22.0,3.0,4.723333333333334,3.1068687344870773,1.82,3.085,4.35,6.175,8.0,3.0,14.293333333333331,10.20512779603143,5.43,8.715,12.0,18.725,25.45,3.0,9.029529914529915,4.417558282101274,4.545,6.855833333333333,9.166666666666666,11.27179487179487,13.376923076923077
Canned Fruit,10499.0,15.751054386131939,7.0073146880765655,1.01,12.3,14.94,17.19,110.0,10499.0,0.08572244975711972,1.5130992707819708,0.0,0.0,0.0,0.0,47.0,10499.0,65.48052195447185,29.574290707723158,13.0,49.0,62.0,77.0,450.0,10499.0,0.9585389084674376,0.6704938557210611,0.0,0.8,0.8,1.4,12.5,10499.0,0.3244108962758454,0.49734232056489175,0.0,0.0,0.0,0.78,6.29,10499.0,13.072153538431914,5.957570638666201,0.0,9.73,12.8,14.62,100.0,10499.0,0.074611867796933,0.678184759381131,0.0,0.0,0.0,0.0,17.29,10499.0,0.5618257821455471,0.8985208911660412,0.0,0.0,0.0,1.2394366197183098,10.23076923076923
Canned Meat,2225.0,2.134912359550559,3.0354945497941617,0.0,0.0,1.67,3.33,33.33,2225.0,207.36943820224718,2957.1098052531906,0.0,54.0,62.0,80.0,62500.0,2225.0,161.84,83.1177304929707,43.0,94.0,125.0,214.0,536.0,2225.0,0.11231460674157309,0.5188196428831676,0.0,0.0,0.0,0.0,7.9,2225.0,15.6973707865168,4.9655039120229665,0.0,12.5,15.29,19.64,30.36,2225.0,0.723555056179773,1.8315619414754198,0.0,0.0,0.0,1.41,33.33,2225.0,9.958498876404631,9.761168658155198,0.0,1.79,4.84,16.67,55.36,2225.0,12.476753097244721,6.657067625564855,0.0,5.716,12.460176991150442,18.76851851851852,25.03191489361702
