branded_food_category,"Carbohydrate, by difference_count","Carbohydrate, by difference_mean","Carbohydrate, by difference_std","Carbohydrate, by difference_min","Carbohydrate, by difference_25%","Carbohydrate, by difference_50%","Carbohydrate, by difference_75%","Carbohydrate, by difference_max",Cholesterol_count,Cholesterol_mean,Cholesterol_std,Cholesterol_min,Cholesterol_25%,Cholesterol_50%,Cholesterol_75%,Cholesterol_max,Energy_count,Energy_mean,Energy_std,Energy_min,Energy_25%,Energy_50%,Energy_75%,Energy_max,"Fiber, total dietary_count","Fiber, total dietary_mean","Fiber, total dietary_std","Fiber, total dietary_min","Fiber, total dietary_25%","Fiber, total dietary_50%","Fiber, total dietary_75%","Fiber, total dietary_max",Protein_count,Protein_mean,Protein_std,Protein_min,Protein_25%,Protein_50%,Protein_75%,Protein_max,"Sugars, total including NLEA_count","Sugars, total including NLEA_mean","Sugars, total including NLEA_std","Sugars, total including NLEA_min","Sugars, total including NLEA_25%","Sugars, total including NLEA_50%","Sugars, total including NLEA_75%","Sugars, total including NLEA_max",Total lipid (fat)_count,Total lipid (fat)_mean,Total lipid (fat)_std,Total lipid (fat)_min,Total lipid (fat)_25%,Total lipid (fat)_50%,Total lipid (fat)_75%,Total lipid (fat)_max,PE_ratio_count,PE_ratio_mean,PE_ratio_std,PE_ratio_min,PE_ratio_25%,PE_ratio_50%,PE_ratio_75%,PE_ratio_max
Alcohol,917.0,25.834569247546266,71.48353381069116,0.0,5.83,12.82,27.27,1388.89,917.0,0.43838604143947657,3.039724047199625,0.0,0.0,0.0,0.0,36.0,917.0,113.50163576881134,305.73564952120154,6.0,29.0,60.0,110.0,5556.0,917.0,0.49847328244274935,1.659298880780436,0.0,0.0,0.0,0.8,23.5,917.0,0.6977317339149408,1.9192210602671689,0.0,0.0,0.0,0.83,25.0,917.0,22.994536532170148,68.52639486788682,0.0,3.53,10.26,25.42,1333.33,917.0,0.9106324972737179,4.245519682257517,0.0,0.0,0.0,0.0,35.71,917.0,1.6425874176508368,2.459681187184525,0.0,0.0,0.0,3.32,19.766666666666666
All Noodles,2534.0,63.253429360693936,17.192959375052084,0.08,60.94,69.64,71.43,100.0,2534.0,45.02565114443568,57.13226124909165,0.0,0.0,0.0,98.0,223.0,2534.0,346.3251775848461,88.94526955705527,6.0,343.0,375.0,393.0,520.0,2534.0,3.0061168113654935,1.7014978178333255,0.0,1.8,3.5,3.6,12.3,2534.0,10.924317284925133,4.244334388971949,0.0,7.14,12.28,14.29,22.62,2534.0,3.3498105761641517,3.3163604728760503,0.0,1.64,3.57,3.64,31.25,2534.0,5.136925808997628,5.288588007001277,0.0,1.79,3.9,5.36,29.17,2534.0,3.1366043348604276,1.0408458895014203,0.0,2.3081896551724137,3.5014005602240896,3.8106666666666666,10.008849557522124
Antioxidant Supplements,4.0,79.1675,15.955087746546553,66.67,66.67,75.0,87.4975,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,408.25,68.83978985054114,333.0,383.25,400.0,425.0,500.0,4.0,38.35,13.452261272118282,26.7,26.7,38.35,50.0,50.0,4.0,22.5,20.615528128088304,0.0,15.0,20.0,27.5,50.0,4.0,7.502500000000001,6.873055482583178,0.0,5.0024999999999995,6.67,9.17,16.67,4.0,3.335,3.850926295494804,0.0,0.0,3.335,6.67,6.67,4.0,5.0,4.08248290463863,0.0,3.75,5.0,6.25,10.0
Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,15.0,2.2920000000000003,3.396929706156934,0.0,0.88,0.88,0.88,8.82,15.0,138.0,45.750878211711495,50.0,156.0,158.0,158.0,168.0,15.0,102.2,9.174498818542002,95.0,96.0,96.0,106.0,118.0,15.0,0.11999999999999998,0.24842360136324745,0.0,0.0,0.0,0.0,0.6,15.0,17.834,3.0401428537864086,12.35,18.42,18.58,18.58,21.24,15.0,0.35200000000000004,0.7287092306655262,0.0,0.0,0.0,0.0,1.76,15.0,2.03,0.7955591025903013,1.33,1.75,1.77,1.77,3.53,15.0,17.720328912303145,3.7640901950468715,10.466101694915254,19.354166666666664,19.354166666666664,19.38947368421053,20.037735849056602
"Bacon, Sausages & Ribs",3240.0,2.9072592592592605,4.514396636031243,0.0,0.0,0.0,4.76,56.25,3240.0,143.720987654321,2132.9712050818134,6.0,67.0,83.0,104.0,85938.0,3240.0,383.80154320987657,145.85055959425094,41.0,264.0,438.0,500.0,692.0,3240.0,0.11037037037037008,0.5351179363379249,0.0,0.0,0.0,0.0,7.1,3240.0,25.20075308642002,10.173169895600427,0.0,16.36,23.53,33.33,50.0,3240.0,1.7822530864197603,3.303394118978332,0.0,0.0,0.0,2.11,27.06,3240.0,29.82069135802447,14.168052029753534,0.0,17.65,33.33,40.91,66.67,3240.0,7.2757983640645145,3.9434147066471605,0.0,5.555,6.4774774774774775,8.343971631205674,86.07317073170732
Baking,10.0,74.223,20.58221295196413,24.71,73.33,73.75999999999999,76.67,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,331.1,80.94778838513406,106.0,333.0,361.0,367.0,375.0,10.0,3.54,3.6821491309046976,0.0,2.6,3.3,3.3,13.3,10.0,7.9670000000000005,5.696375163206862,0.0,2.42,10.0,12.4975,13.33,10.0,22.421,41.23918294534944,0.0,0.0,1.615,14.069999999999999,100.0,10.0,0.16699999999999998,0.5281003692481194,0.0,0.0,0.0,0.0,1.67,10.0,2.2724870389827982,1.6214846761653001,0.0,0.6811989100817438,2.864881783191642,3.4748651921676443,4.003003003003003
Baking Accessories,9.0,61.00444444444444,11.352364413538607,53.1,53.1,61.9,61.95,88.89,9.0,2660.222222222222,7931.1952721165835,0.0,0.0,0.0,44.0,23810.0,9.0,520.0,28.77498913987632,444.0,531.0,531.0,531.0,531.0,9.0,4.444444444444445,4.402019738458448,0.0,0.0,4.8,8.8,8.8,9.0,7.941111111111111,2.9861490436867197,0.0,8.85,8.85,8.85,9.52,9.0,40.76555555555555,15.870343499048085,0.0,44.25,44.25,44.25,57.14,9.0,29.760000000000005,11.346988587286054,0.0,30.97,33.33,35.4,35.4,9.0,1.5001070434596446,0.565265274153559,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.834296724470135
Baking Additives & Extracts,1599.0,42.82512820512818,24.047062962852007,0.0,26.67,47.06,60.0,100.0,1599.0,0.4815509693558474,6.55663713034905,0.0,0.0,0.0,0.0,155.0,1599.0,391.26516572858037,185.04211131464595,33.0,250.0,368.0,467.0,1500.0,1599.0,14.517510944340144,29.763321390323707,0.0,3.0,13.3,20.0,625.0,1599.0,8.761969981238291,10.627183709765239,0.0,0.0,6.67,11.594999999999999,86.67,1599.0,18.065071919950004,21.64690986000807,0.0,0.0,6.67,33.33,100.0,1599.0,22.2201876172608,21.69290232089062,0.0,5.0,17.5,30.0,100.0,1599.0,2.667134214446867,4.955350566807817,0.0,0.0,1.2499999999999998,4.002801120448179,150.0
Baking Decorations & Dessert Toppings,7001.0,62.08416083416584,26.722391217037256,0.0,48.78,65.71,75.0,616.67,7001.0,46.18068847307528,985.986521816646,0.0,0.0,0.0,0.0,33871.0,7001.0,414.64519354377944,151.6620550814786,22.0,343.0,424.0,500.0,3833.0,7001.0,2.6069990001428724,5.99695347714125,0.0,0.0,0.0,3.0,66.7,7001.0,2.797243250964113,5.345906022298517,0.0,0.0,0.0,6.67,120.0,7001.0,49.461404085130354,25.44018998271904,0.0,33.33,53.33,66.67,200.0,7001.0,18.21136123410928,14.249860491184211,0.0,0.0,18.18,26.67,133.33,7001.0,0.6102057419848687,1.443286123155629,0.0,0.0,0.0,1.25140712945591,50.0
Baking/Cooking Mixes (Perishable),3.0,59.07333333333333,2.9757240015386737,57.14,57.36,57.58,60.04,62.5,3.0,15.0,3.0,12.0,13.5,15.0,16.5,18.0,3.0,429.3333333333333,32.331615074619044,400.0,412.0,424.0,444.0,464.0,3.0,1.0,1.7320508075688772,0.0,0.0,0.0,1.5,3.0,3.0,4.876666666666666,1.2495732604906897,3.57,4.285,5.0,5.529999999999999,6.06,3.0,33.666666666666664,2.3394301300387945,32.14,32.32,32.5,34.43,36.36,3.0,19.393333333333334,5.109220423247889,15.0,16.59,18.18,21.59,25.0,3.0,1.1495472782476686,0.34120103902011306,0.7693965517241379,1.009698275862069,1.25,1.3396226415094339,1.429245283018868
