fdc_id,combo_food_1,combo_food_2,combo_food_3,combo_food_4
1219766,1967930,1235909,1686714,1287066
445544,555108,1992773,1234183,1153317
1506863,1731636,1762802,1829752,768474
1037151,2163106,1709532,1075799,2178887
1888900,1373912,2096287,1987075,1208578
1346029,742368,555108,1641763,1834194
1328101,1834201,442307,1243683,431611
1349873,966113,549759,1822951,1983621
1564469,2104047,1835075,1647215,1833930
622580,504445,1337993,2175503,1983621
585405,2087463,1211051,1979403,560310
1917559,497888,573741,1161383,1834194
684952,1952282,1487062,357926,441951
1897539,1992773,1822298,1954180,537902
1843850,2205604,1316936,381570,2182387
1934530,1960768,802013,2174684,1079263
2143956,1589444,1873224,482599,807929
1856125,2171642,1498081,808653,1162508
582261,545692,592064,1761728,563323
1910211,703086,758900,1031061,1996684
553480,2177372,1824204,1632695,1983621
1834547,1119077,1243934,1983621,2180542
703076,746026,1829363,542338,1766879
1176424,969319,1804404,1082453,952889
1622698,545692,1994272,1834188,716518
1260733,640706,395442,768474,1305461
2032224,490378,1462535,1799632,2033352
1144405,2234865,1234183,1835213,496020
805987,1201457,1730177,1161383,2179345
1269285,2019276,1161383,1742844,2180969
489270,2014722,1298265,768474,807929
444834,1853395,544825,549759,2174684
593410,1017633,1960768,2100083,1126916
1110758,554829,2072649,1601713,1114147
755280,964479,581635,1804301,1304217
1963747,969319,549759,1834188,2174801
1735532,1782166,1829752,1741187,438229
1923928,1494886,1960768,581385,2182387
1683467,545692,1507112,1899752,430252
568935,1218526,600838,1829117,490333
587870,2089607,591991,2179638,1844327
1749321,2087463,555108,1621255,1790933
1699851,969319,1662188,468889,504992
1603895,1373912,549759,1946320,2180405
689448,398160,1705789,1235909,560973
849254,1961988,1861058,1815132,1997767
1567114,1731636,1829752,2105388,768474
581977,1890477,1235909,1890475,1873348
1139545,402313,1351753,598425,1960768
387934,1642080,2114513,395280,1976160
1976889,1792787,2174684,2211621,439083
627156,970271,2178228,1951535,1983621
1700492,1583858,2174684,1139519,1136438
538743,1977022,1702823,497888,2157570
1849711,1545577,1133996,2096287,1983621
1715442,1172039,1589444,356668,1727050
387103,1462535,2111929,1766003,1748581
559040,2233268,1864402,1983621,1848269
570563,1328494,1706130,1589444,549759
1828772,1791656,1161645,1815132,1983621
2161700,1769244,2013878,601620,2156926
2231195,1769244,1745073,1741795,2164061
2078363,1508198,2137238,1834188,1920800
1841229,1148050,1423440,1209790,1917445
1268506,1462535,2012794,1275950,1789568
969319,418759,1063673,1856767,1305461
456035,402313,1234183,1880628,2180969
1600770,1583858,1945320,1472123,736684
1586524,1743650,961351,1960768,1831836
1769244,1663994,1747879,2216926,1424870
400173,2017332,442851,1913159,766128
1096589,969319,2087463,1836749,1909208
1967930,1219766,1235909,1686714,1287066
1731636,1506863,1762802,1829752,768474
2163106,1037151,1709532,1075799,2178887
1373912,1888900,2096287,1987075,1208578
742368,1346029,555108,1641763,1834194
1834201,1328101,442307,1243683,431611
966113,1349873,549759,1822951,1983621
2104047,1564469,1835075,1647215,1833930
2229308,969319,1511943,952889,1983621
504445,622580,1337993,2175503,1983621
1952282,684952,1487062,357926,441951
2205604,1843850,1316936,381570,2182387
2107776,969319,2148122,2229205,1983621
2173417,545692,1548382,1563552,592269
1889322,969319,1677889,1218526,1687334
1836612,2111929,1979314,1647202,1632695
2171642,1856125,1498081,808653,1162508
592064,545692,582261,1761728,563323
701512,1993055,2087463,1983529,2182387
758900,703086,1910211,1031061,1996684
1824204,2177372,553480,1632695,1983621
1243934,1119077,1834547,1983621,2180542
1829363,746026,703076,542338,1766879
416874,1584873,1235909,768474,363275
1804404,969319,1176424,1082453,952889
2018048,1910914,742368,1235909,1976160
1994272,545692,1622698,1834188,716518
395442,640706,1260733,768474,1305461
2255641,1024991,1563552,1983621,1750055
2174583,1462535,545692,601870,1216749
1730177,1201457,805987,1161383,2179345
1298265,2014722,489270,768474,807929
2072649,554829,1110758,1601713,1114147
1462535,2239476,969319,545692,398046
544825,1785828,1589444,1958988,370278
581635,964479,755280,1804301,1304217
1977738,2199974,1234183,1031597,576276
1507112,545692,1683467,1899752,430252
600838,1218526,568935,1829117,490333
591991,2089607,587870,2179638,1844327
1662188,969319,1699851,468889,504992
770200,1882058,545692,1721494,1959667
1189799,796377,545692,1656457,1205519
1705789,398160,689448,1235909,560973
1861058,1961988,849254,1815132,1997767
1351753,402313,1139545,598425,1960768
2114513,1642080,387934,395280,1976160
2178228,970271,627156,1951535,1983621
2120967,969319,545692,1126916,382636
1702823,1977022,538743,497888,2157570
1133996,1545577,1849711,2096287,1983621
2111929,1462535,387103,1766003,1748581
1864402,2233268,559040,1983621,1848269
1706130,1328494,570563,1589444,549759
847608,360414,1769244,1903790,1818605
1161645,1791656,1828772,1815132,1983621
1603873,2216622,545692,2162099,400082
2013878,1769244,2161700,601620,2156926
2182379,2173462,1234183,1034205,1983621
1745073,1769244,2231195,1741795,2164061
2137238,1508198,2078363,1834188,1920800
2216455,2111929,545692,1829065,1917200
1423440,1148050,1841229,1209790,1917445
2012794,1462535,1268506,1275950,1789568
1063673,418759,969319,1856767,1305461
1945320,1583858,1600770,1472123,736684
961351,1743650,1586524,1960768,1831836
1747879,1663994,1769244,2216926,1424870
442851,2017332,400173,1913159,766128
587389,504992,1647215,346064,2196493
2087463,969319,1096589,1836749,1909208
1992773,445544,555108,1234183,1153317
1762802,1506863,1731636,1829752,768474
1709532,1037151,2163106,1075799,2178887
555108,1346029,742368,1641763,1834194
442307,1328101,1834201,1243683,431611
1835075,1564469,2104047,1647215,1833930
2014842,2163106,549759,1966240,2178887
1511943,969319,2229308,952889,1983621
1337993,622580,504445,2175503,1983621
1211051,585405,2087463,1979403,560310
573741,1917559,497888,1161383,1834194
1487062,684952,1952282,357926,441951
1822298,1897539,1992773,1954180,537902
1316936,1843850,2205604,381570,2182387
1261671,2111929,1836612,1805700,2182387
2148122,969319,2107776,2229205,1983621
1803586,1889322,1218526,2091612,1641907
802013,1934530,1960768,2174684,1079263
1548382,545692,2173417,1563552,592269
1677889,969319,1889322,1218526,1687334
1979314,2111929,1836612,1647202,1632695
1873224,2143956,1589444,482599,807929
1498081,1856125,2171642,808653,1162508
410309,1889322,1218526,1234183,579498
1761728,545692,582261,592064,563323
1983529,1993055,2087463,701512,2182387
1031061,703086,1910211,758900,1996684
721058,1730173,545692,2174583,1031597
542338,746026,703076,1829363,1766879
1082453,969319,1176424,1804404,952889
1799632,490378,2032224,1462535,2033352
1835213,2234865,1144405,1234183,496020
601870,1462535,545692,2174583,1216749
1742844,2019276,1269285,1161383,2180969
1744678,2225444,545692,2087463,1618348
2100083,1017633,593410,1960768,1126916
1601713,554829,1110758,2072649,1114147
545692,2239476,969319,1462535,398046
1958988,1785828,1589444,544825,370278
1804301,964479,755280,581635,1304217
1460022,1515641,1373912,1818605,2179251
1741187,1782166,1735532,1829752,438229
581385,1494886,1923928,1960768,2182387
1899752,545692,1683467,1507112,430252
1829117,1218526,568935,600838,490333
2179638,2089607,587870,591991,1844327
1621255,2087463,1749321,555108,1790933
468889,969319,1699851,1662188,504992
1946320,1373912,1603895,549759,2180405
1721494,1882058,545692,770200,1959667
1656457,796377,545692,1189799,1205519
1235909,398160,689448,1705789,560973
2105388,1731636,1567114,1829752,768474
1890475,1890477,581977,1235909,1873348
598425,402313,1139545,1351753,1960768
395280,1642080,387934,2114513,1976160
2211621,1792787,1976889,2174684,439083
1951535,970271,627156,2178228,1983621
1139519,1583858,1700492,2174684,1136438
497888,1977022,538743,1702823,2157570
2096287,1545577,1849711,1133996,1983621
356668,1172039,1715442,1589444,1727050
1766003,1462535,387103,2111929,1748581
1589444,1328494,570563,1706130,549759
1903790,360414,1769244,847608,1818605
1815132,1791656,1828772,1161645,1983621
2162099,2216622,545692,1603873,400082
601620,1769244,2161700,2013878,2156926
1034205,2173462,1234183,2182379,1983621
1741795,1769244,2231195,1745073,2164061
1834188,1508198,2078363,2137238,1920800
1829065,2111929,545692,2216455,1917200
1209790,1148050,1841229,1423440,1917445
1275950,1462535,1268506,2012794,1789568
1856767,418759,969319,1063673,1305461
1880628,402313,456035,1234183,2180969
1472123,1583858,1600770,1945320,736684
2216926,1663994,1769244,1747879,1424870
1913159,2017332,400173,442851,766128
346064,504992,1647215,587389,2196493
1836749,969319,1096589,2087463,1909208
1686714,1219766,1967930,1235909,1287066
1829752,1506863,1731636,1762802,768474
1075799,1037151,2163106,1709532,2178887
1987075,1888900,1373912,2096287,1208578
1641763,1346029,742368,555108,1834194
1243683,1328101,1834201,442307,431611
1822951,1349873,966113,549759,1983621
1647215,1564469,2104047,1835075,1833930
1966240,2163106,549759,2014842,2178887
2175503,622580,504445,1337993,1983621
1979403,585405,2087463,1211051,560310
1161383,1917559,497888,573741,1834194
357926,684952,1952282,1487062,441951
1954180,1897539,1992773,1822298,537902
381570,1843850,2205604,1316936,2182387
1805700,2111929,1836612,1261671,2182387
2229205,969319,2107776,2148122,1983621
2091612,1889322,1218526,1803586,1641907
1563552,545692,2173417,1548382,592269
1218526,969319,1889322,1677889,1687334
1647202,2111929,1836612,1979314,1632695
482599,2143956,1589444,1873224,807929
808653,1856125,2171642,1498081,1162508
1234183,1889322,1218526,410309,579498
563323,545692,582261,592064,1761728
1996684,703086,1910211,758900,1031061
2180542,1119077,1834547,1243934,1983621
1031597,1730173,545692,2174583,721058
1766879,746026,703076,1829363,542338
363275,1584873,1235909,416874,768474
952889,969319,1176424,1804404,1082453
716518,545692,1622698,1994272,1834188
1750055,1024991,1563552,2255641,1983621
2033352,490378,2032224,1462535,1799632
496020,2234865,1144405,1234183,1835213
1216749,1462535,545692,2174583,601870
2179345,1201457,805987,1730177,1161383
2174684,1853395,444834,544825,549759
1618348,2225444,545692,2087463,1744678
1126916,1017633,593410,1960768,2100083
1114147,554829,1110758,2072649,1601713
398046,2239476,969319,1462535,545692
370278,1785828,1589444,544825,1958988
1304217,964479,755280,581635,1804301
2174801,969319,1963747,549759,1834188
2179251,1515641,1373912,1818605,1460022
576276,2199974,1234183,1977738,1031597
438229,1782166,1735532,1829752,1741187
430252,545692,1683467,1507112,1899752
490333,1218526,568935,600838,1829117
1844327,2089607,587870,591991,2179638
1790933,2087463,1749321,555108,1621255
504992,969319,1699851,1662188,468889
2180405,1373912,1603895,549759,1946320
1959667,1882058,545692,770200,1721494
1205519,796377,545692,1189799,1656457
560973,398160,689448,1705789,1235909
1997767,1961988,849254,1861058,1815132
1873348,1890477,581977,1235909,1890475
1960768,402313,1139545,1351753,598425
1976160,1642080,387934,2114513,395280
439083,1792787,1976889,2174684,2211621
382636,969319,545692,2120967,1126916
1136438,1583858,1700492,2174684,1139519
2157570,1977022,538743,1702823,497888
1727050,1172039,1715442,1589444,356668
1748581,1462535,387103,2111929,1766003
1848269,2233268,559040,1864402,1983621
549759,1328494,570563,1706130,1589444
1818605,360414,1769244,847608,1903790
400082,2216622,545692,1603873,2162099
2156926,1769244,2161700,2013878,601620
2164061,1769244,2231195,1745073,1741795
1920800,1508198,2078363,2137238,1834188
1917200,2111929,545692,2216455,1829065
1917445,1148050,1841229,1423440,1209790
1789568,1462535,1268506,2012794,1275950
1305461,418759,969319,1063673,1856767
2180969,402313,456035,1234183,1880628
736684,1583858,1600770,1945320,1472123
1831836,1743650,1586524,961351,1960768
1424870,1663994,1769244,1747879,2216926
766128,2017332,400173,442851,1913159
2196493,504992,1647215,587389,346064
1909208,969319,1096589,2087463,1836749
1287066,1219766,1967930,1235909,1686714
1153317,445544,555108,1992773,1234183
768474,1506863,1731636,1762802,1829752
1208578,1888900,1373912,2096287,1987075
431611,1328101,1834201,442307,1243683
1833930,1564469,2104047,1835075,1647215
2178887,2163106,549759,2014842,1966240
560310,585405,2087463,1211051,1979403
1834194,1917559,497888,573741,1161383
441951,684952,1952282,1487062,357926
537902,1897539,1992773,1822298,1954180
2182387,2111929,1836612,1261671,1805700
1983621,969319,2107776,2148122,2229205
1641907,1889322,1218526,1803586,2091612
1079263,1934530,1960768,802013,2174684
592269,545692,2173417,1548382,1563552
1687334,969319,1889322,1677889,1218526
1632695,2111929,1836612,1979314,1647202
807929,2143956,1589444,1873224,482599
1162508,1856125,2171642,1498081,808653
579498,1889322,1218526,410309,1234183
