fdc_id,combo_food_1,combo_food_2,combo_food_3,combo_food_4
1993055,2087463,701512,1983529,2182387
703086,1910211,758900,1031061,1996684
2177372,553480,1824204,1632695,1983621
1119077,1834547,1243934,1983621,2180542
1730173,545692,2174583,721058,1031597
746026,703076,1829363,542338,1766879
1584873,1235909,416874,768474,363275
1910914,742368,2018048,1235909,1976160
640706,1260733,395442,768474,1305461
1024991,1563552,2255641,1983621,1750055
490378,2032224,1462535,1799632,2033352
2234865,1144405,1234183,1835213,496020
1201457,805987,1730177,1161383,2179345
2019276,1269285,1161383,1742844,2180969
2014722,489270,1298265,768474,807929
1853395,444834,544825,549759,2174684
2225444,545692,2087463,1744678,1618348
1017633,593410,1960768,2100083,1126916
554829,1110758,2072649,1601713,1114147
2239476,969319,1462535,545692,398046
1785828,1589444,544825,1958988,370278
964479,755280,581635,1804301,1304217
1515641,1373912,1818605,1460022,2179251
2199974,1234183,1977738,1031597,576276
1782166,1735532,1829752,1741187,438229
1494886,1923928,1960768,581385,2182387
2089607,587870,591991,2179638,1844327
1882058,545692,770200,1721494,1959667
796377,545692,1189799,1656457,1205519
398160,689448,1705789,1235909,560973
1961988,849254,1861058,1815132,1997767
1890477,581977,1235909,1890475,1873348
1642080,387934,2114513,395280,1976160
1792787,1976889,2174684,2211621,439083
970271,627156,2178228,1951535,1983621
1977022,538743,1702823,497888,2157570
1545577,1849711,1133996,2096287,1983621
1172039,1715442,1589444,356668,1727050
2233268,559040,1864402,1983621,1848269
1328494,570563,1706130,1589444,549759
360414,1769244,847608,1903790,1818605
1791656,1828772,1161645,1815132,1983621
2216622,545692,1603873,2162099,400082
2173462,1234183,2182379,1034205,1983621
1508198,2078363,2137238,1834188,1920800
1148050,1841229,1423440,1209790,1917445
418759,969319,1063673,1856767,1305461
402313,456035,1234183,1880628,2180969
1583858,1600770,1945320,1472123,736684
1743650,1586524,961351,1960768,1831836
1663994,1769244,1747879,2216926,1424870
2017332,400173,442851,1913159,766128
