branded_food_category,fdc_id,perc,1618501
"Popcorn, Peanuts, Seeds & Related Snacks",77192,4.77%,
Candy,76252,4.71%,
Cheese,63650,3.93%,
Ice Cream & Frozen Yogurt,50036,3.09%,
Cookies & Biscuits,47519,2.94%,
"Chips, Pretzels & Snacks",42837,2.65%,
Breads & Buns,38571,2.38%,
"Pickles, Olives, Peppers & Relishes",37420,2.31%,
"Fruit & Vegetable Juice, Nectars & Fruit Drinks",34844,2.15%,
Cereal,34104,2.11%,
"Snack, Energy & Granola Bars",33939,2.10%,
Chocolate,33362,2.06%,
Yogurt,32132,1.99%,
"Cakes, Cupcakes, Snack Cakes",31795,1.96%,
"Seasoning Mixes, Salts, Marinades & Tenderizers",28799,1.78%,
Soda,27939,1.73%,
Other Snacks,26788,1.66%,
"Ketchup, Mustard, BBQ & Cheese Sauce",26139,1.62%,
Dips & Salsa,25503,1.58%,
Pasta by Shape & Type,24961,1.54%,
Salad Dressing & Mayonnaise,24334,1.50%,
Wholesome Snacks,22860,1.41%,
Frozen Dinners & Entrees,22151,1.37%,
Water,21670,1.34%,
Pre-Packaged Fruit & Vegetables,20001,1.24%,
Frozen Appetizers & Hors D'oeuvres,18382,1.14%,
Canned Vegetables,18045,1.11%,
"Pepperoni, Salami & Cold Cuts",17957,1.11%,
Frozen Vegetables,17409,1.08%,
Milk,17119,1.06%,
Vegetable & Cooking Oils,16362,1.01%,
"Sausages, Hotdogs & Brats",15670,0.97%,
Baking Decorations & Dessert Toppings,15520,0.96%,
Other Drinks,15266,0.94%,
Powdered Drinks,15250,0.94%,
Crackers & Biscotti,15207,0.94%,
Pizza,14965,0.92%,
Prepared Pasta & Pizza Sauces,14404,0.89%,
Canned & Bottled Beans,13566,0.84%,
Frozen Fish & Seafood,13441,0.83%,
Canned Fruit,13317,0.82%,
"Cake, Cookie & Cupcake Mixes",13317,0.82%,
"Oriental, Mexican & Ethnic Sauces",13003,0.80%,
Tomatoes,12994,0.80%,
"Jam, Jelly & Fruit Spreads",11831,0.73%,
Other Soups,11508,0.71%,
"Croissants, Sweet Rolls, Muffins & Other Pastries",10884,0.67%,
Nut & Seed Butters,10698,0.66%,
Canned Soup,10164,0.63%,
Frozen Fruit & Fruit Juice Concentrates,9306,0.57%,
Other Deli,8414,0.52%,
Iced & Bottle Tea,7943,0.49%,
Other Meats,7570,0.47%,
Other Cooking Sauces,7559,0.47%,
"Energy, Protein & Muscle Recovery Drinks",7410,0.46%,
Milk Additives,7373,0.46%,
Syrups & Molasses,7261,0.45%,
"Granulated, Brown & Powdered Sugar",7178,0.44%,
Butter & Spread,7089,0.44%,
Vegetable and Lentil Mixes,6949,0.43%,
Herbs & Spices,6846,0.42%,
Other Frozen Desserts,6845,0.42%,
Rice,6797,0.42%,
Pasta Dinners,6724,0.42%,
Crusts & Dough,6232,0.39%,
Cream,6159,0.38%,
Plant Based Milk,6128,0.38%,
Mexican Dinner Mixes,6029,0.37%,
Chewing Gum & Mints,5978,0.37%,
"Bacon, Sausages & Ribs",5890,0.36%,
Biscuits/Cookies,5661,0.35%,
Tea Bags,5630,0.35%,
Chili & Stew,5464,0.34%,
Puddings & Custards,5123,0.32%,
Honey,4876,0.30%,
Non Alcoholic Beverages  Ready to Drink,4861,0.30%,
Flours & Corn Meal,4733,0.29%,
Frozen Patties and Burgers,4646,0.29%,
Canned Seafood,4561,0.28%,
"Entrees, Sides & Small Meals",4561,0.28%,
Processed Cereal Products,4470,0.28%,
Canned Condensed Soup,4384,0.27%,
Deli Salads,4338,0.27%,
Prepared Soups,4337,0.27%,
Cooked & Prepared,4304,0.27%,
Bread & Muffin Mixes,4280,0.26%,
Other Grains & Seeds,4270,0.26%,
"Frozen Pancakes, Waffles, French Toast & Crepes",4259,0.26%,
Frozen Bread & Dough,4155,0.26%,
"Frozen Breakfast Sandwiches, Biscuits & Meals",4088,0.25%,
Fish & Seafood,3731,0.23%,
Canned Tuna,3668,0.23%,
Flavored Snack Crackers,3656,0.23%,
Meat/Poultry/Other Animals  Prepared/Processed,3586,0.22%,
"Gelatin, Gels, Pectins & Desserts",3564,0.22%,
"French Fries, Potatoes & Onion Rings",3494,0.22%,
Flavored Rice Dishes,3476,0.21%,
Snacks,3377,0.21%,
Gravy Mix,3358,0.21%,
All Noodles,3315,0.20%,
Baking Additives & Extracts,3262,0.20%,
Canned Meat,3136,0.19%,
Prepared Subs & Sandwiches,3119,0.19%,
