branded_food_category,fdc_id,perc,1618501
Lunch Snacks & Combinations,3097,0.19%,
Sport Drinks,2929,0.18%,
Frozen Prepared Sides,2916,0.18%,
Eggs & Egg Substitutes,2908,0.18%,
Meat/Poultry/Other Animals  Unprepared/Unprocessed,2843,0.18%,
Alcohol,2801,0.17%,
Liquid Water Enhancer,2786,0.17%,
Vegetables  Prepared/Processed,2741,0.17%,
"Poultry, Chicken & Turkey",2676,0.17%,
Baking/Cooking Mixes/Supplies,2555,0.16%,
Plant Based Water,2432,0.15%,
Sauces/Spreads/Dips/Condiments,2184,0.13%,
Pastry Shells & Fillings,2119,0.13%,
Other Condiments,2081,0.13%,
Yogurt/Yogurt Substitutes,2072,0.13%,
Pizza Mixes & Other Dry Dinners,2002,0.12%,
Bread,1984,0.12%,
Confectionery Products,1848,0.11%,
Dough Based Products / Meals,1838,0.11%,
Prepared Wraps and Burittos,1786,0.11%,
"Frozen Bacon, Sausages & Ribs",1657,0.10%,
Shellfish Unprepared/Unprocessed,1482,0.09%,
Stuffing,1331,0.08%,
"Frozen Poultry, Chicken & Turkey",1306,0.08%,
Vegetarian Frozen Meats,1280,0.08%,
Coffee,1240,0.08%,
Sweet Bakery Products,1201,0.07%,
Sushi,1199,0.07%,
Savoury Bakery Products,1176,0.07%,
"Frozen Sausages, Hotdogs & Brats",1108,0.07%,
Fish  Unprepared/Unprocessed,1091,0.07%,
Biscuits/Cookies (Shelf Stable),1025,0.06%,
"Breakfast Sandwiches, Biscuits & Meals",1007,0.06%,
Specialty Formula Supplements,970,0.06%,
Meat/Poultry/Other Animals Sausages  Prepared/Processed,840,0.05%,
Non Alcoholic Beverages – Ready to Drink,788,0.05%,
Vegetable Based Products / Meals,711,0.04%,
Herbs/Spices/Extracts,668,0.04%,
Fruit  Prepared/Processed,644,0.04%,
Other Frozen Meats,615,0.04%,
Meal Replacement Supplements,578,0.04%,
Desserts/Dessert Sauces/Toppings,554,0.03%,
Fish – Unprepared/Unprocessed,545,0.03%,
"Pancakes, Waffles, French Toast & Crepes",532,0.03%,
Cereals Products - Ready to Eat (Shelf Stable),508,0.03%,
Meat/Poultry/Other Animals – Unprepared/Unprocessed,412,0.03%,
Cereal/Muesli Bars,409,0.03%,
Grains/Flour,390,0.02%,
Coffee/Tea/Substitutes,380,0.02%,
Meat/Poultry/Other Animals – Prepared/Processed,380,0.02%,
Grain Based Products / Meals,375,0.02%,
Sandwiches/Filled Rolls/Wraps,374,0.02%,
Weight Control,352,0.02%,
Health Care,348,0.02%,
Pasta/Noodles,342,0.02%,
Breakfast Drinks,339,0.02%,
Vegetables – Prepared/Processed,305,0.02%,
Non Alcoholic Beverages  Not Ready to Drink,297,0.02%,
Chips/Crisps/Snack Mixes - Natural/Extruded (Shelf Stable),296,0.02%,
Vegetable Based Products / Meals - Not Ready to Eat (Frozen),227,0.01%,
Pies/Pastries - Sweet (Shelf Stable),216,0.01%,
Oils Edible,203,0.01%,
Miscellanious,188,0.01%,
Ready-Made Combination Meals,188,0.01%,
Cakes - Sweet (Frozen),154,0.01%,
Cheese/Cheese Substitutes,153,0.01%,
Fruit - Prepared/Processed (Shelf Stable),150,0.01%,
Baby/Infant  Foods/Beverages,139,0.01%,
Prepared/Preserved Foods Variety Packs,128,0.01%,
Meat/Poultry/Other Animals Sausages – Prepared/Processed,112,0.01%,
Green Supplements,106,0.01%,
Nuts/Seeds  Prepared/Processed,100,0.01%,
Frozen Fish/Seafood,100,0.01%,
Pickles/Relishes/Chutneys/Olives,95,0.01%,
Drinks Flavoured - Ready to Drink,88,0.01%,
Butter/Butter Substitutes,84,0.01%,
Fish  Prepared/Processed,73,0.00%,
Sweet Spreads,70,0.00%,
Baking,67,0.00%,
Breakfast Foods,66,0.00%,
Confection & Snacks,66,0.00%,
Bread/Bakery Products Variety Packs,64,0.00%,
Herbal Supplements,58,0.00%,
"Condiments, Oils & Dressing",58,0.00%,
Digestive & Fiber Supplements,57,0.00%,
Children's Nutritional Supplements,53,0.00%,
Non Alcoholic Beverages – Not Ready to Drink,48,0.00%,
Alcoholic Beverages,48,0.00%,
Dairy/Egg Based Products / Meals,46,0.00%,
Canned Fish and Meat,46,0.00%,
Fruit – Prepared/Processed,44,0.00%,
Confectionery,40,0.00%,
Seafood Miscellaneous,36,0.00%,
Baking/Cooking Supplies (Shelf Stable),35,0.00%,
Sugars/Sugar Substitute Products,35,0.00%,
Baking Accessories,33,0.00%,
Fats Edible,32,0.00%,
Spreads,32,0.00%,
Ice Cream/Ice Novelties (Shelf Stable),30,0.00%,
Fruit/Nuts/Seeds Combination,27,0.00%,
"Fruits, Vegetables & Produce",27,0.00%,
Nuts/Seeds – Prepared/Processed,27,0.00%,
Dairy Foods/Yoghurts,26,0.00%,
Vitamins,25,0.00%,
Snack Foods - Other,24,0.00%,
Breakfast Cereals - Hot And Cold,22,0.00%,
Sauces,21,0.00%,
Nuts/Seeds - Prepared/Processed (Shelf Stable),20,0.00%,
Pies/Pastries/Pizzas/Quiches - Savoury (Frozen),19,0.00%,
Cereals Products - Not Ready to Eat (Shelf Stable),16,0.00%,
Food/Beverage/Tobacco Variety Packs,16,0.00%,
Baby/Infant – Foods/Beverages,16,0.00%,
Prepared Meals,16,0.00%,
Fatty Acid Supplements,16,0.00%,
Aquatic Invertebrates/Fish/Shellfish/Seafood Combination,15,0.00%,
Grains,15,0.00%,
Milk/Milk Substitutes,14,0.00%,
Beer,13,0.00%,
Popcorn (Shelf Stable),13,0.00%,
Oral Hygiene Products,13,0.00%,
Vegetables  Unprepared/Unprocessed (Shelf Stable),12,0.00%,
Vinegars/Cooking Wines,10,0.00%,
Frozen Fruit,9,0.00%,
Frozen Meals,9,0.00%,
Smoked fish,9,0.00%,
Drinks,9,0.00%,
Vegetables - Prepared/Processed (Shelf Stable),9,0.00%,
Dips/Hummus/Pate,8,0.00%,
Health Supplements and Vitamins,8,0.00%,
Dough Based Products / Meals - Not Ready to Eat - Savoury (Shelf Stable),8,0.00%,
Home Decoration & Supplies,8,0.00%,
Meat Substitutes,8,0.00%,
Wrapped Snacks - Muesli Bars,8,0.00%,
Sausages/Smallgoods,8,0.00%,
Canned/Dried Veges,7,0.00%,
Taco Shells,7,0.00%,
Yogurt/Yogurt Substitutes (Perishable),7,0.00%,
Peppers,7,0.00%,
Herbs And Spices,7,0.00%,
"Drinks - Juices, Drinks and Cordials",7,0.00%,
Kitchen Supplies,6,0.00%,
Baking/Cooking Mixes (Shelf Stable),6,0.00%,
Antioxidant Supplements,6,0.00%,
Wrapped Snacks - Nut Bars,6,0.00%,
Bacon,6,0.00%,
Shellfish Prepared/Processed,6,0.00%,
Nuts/Seeds  Unprepared/Unprocessed (Shelf Stable),6,0.00%,
Frozen Foods,6,0.00%,
Snack Foods - Cereal Snacks,6,0.00%,
Baking/Cooking Mixes (Perishable),5,0.00%,
Snack Foods - Nuts,5,0.00%,
Media,5,0.00%,
Sugar And Flour,5,0.00%,
Cream/Cream Substitutes,5,0.00%,
Biscuits Cracker,5,0.00%,
Baking Needs,5,0.00%,
Desserts & Custard,4,0.00%,
Fish – Prepared/Processed,4,0.00%,
Egg Based Products / Meals - Not Ready to Eat (Frozen),4,0.00%,
Vegetables  Unprepared/Unprocessed (Frozen),4,0.00%,
Biscuits Plain/Sweet,4,0.00%,
Dressings/Dips (Shelf Stable),3,0.00%,
Bread - Incl. Buns And Rolls,3,0.00%,
Pork Sausages - Prepared/Processed,3,0.00%,
Milk/Cream - Shelf Stable,3,0.00%,
Beef - Prepared/Processed,3,0.00%,
Soups - Prepared (Shelf Stable),3,0.00%,
Wrapped Snacks - Cereal,3,0.00%,
Sauces- Cooking,3,0.00%,
Drinks - Powdered,3,0.00%,
Ham/Cold Meats,2,0.00%,
Baby Food Shelf,2,0.00%,
Frozen Potato,2,0.00%,
Biscuits Chocolate,2,0.00%,
Vegetarian,2,0.00%,
Vegetables – Unprepared/Unprocessed (Frozen),2,0.00%,
Vegetables - Prepared/Processed (Frozen),2,0.00%,
Snack Foods - Chips,2,0.00%,
Gardening,2,0.00%,
Minerals,2,0.00%,
Childcare,2,0.00%,
Pasta/Noodles - Not Ready to Eat (Frozen),2,0.00%,
Dried Breads (Shelf Stable),2,0.00%,
Salad Dressings,2,0.00%,
Chickpeas,2,0.00%,
Children's Natural Remedies,2,0.00%,
Drinks - Soft Drinks,2,0.00%,
Pork - Prepared/Processed,2,0.00%,
Grain Based Products / Meals - Not Ready to Eat - Savoury (Shelf Stable),2,0.00%,
Pastries/Pies/Pizzas,2,0.00%,
Frozen Pies/Savouries,1,0.00%,
Cheese - Speciality ,1,0.00%,
Cheese - Block,1,0.00%,
Ice-Cream/Block Single,1,0.00%,
Dough Based Products / Meals - Not Ready to Eat - Savoury (Frozen),1,0.00%,
Ice-Cream Take Home,1,0.00%,
Fruit,1,0.00%,
Vegetables – Unprepared/Unprocessed (Shelf Stable),1,0.00%,
Deli and Chilled Foods,1,0.00%,
Frozen Snack,1,0.00%,
Vegetables,1,0.00%,
Ayurvedic Supplements,1,0.00%,
Wrapped Snacks - Fruit Bars,1,0.00%,
Amino Acid Supplements,1,0.00%,
Frozen Meat,1,0.00%,
Processed Cheese & Cheese Novelties,1,0.00%,
Other Pet Food,1,0.00%,
Skin Care Preparations,1,0.00%,
Snack Foods - Corn Chips,1,0.00%,
Mussels,1,0.00%,
Noodles,1,0.00%,
Nuts/Seeds – Unprepared/Unprocessed (Shelf Stable),1,0.00%,
Sauces - Cooking (Shelf Stable),1,0.00%,
Drinks - Energy Drinks,1,0.00%,
Salami / Cured Meat,1,0.00%,
Salads,1,0.00%,
Flour - Cereal/Pulse (Shelf Stable),1,0.00%,
Cakes - Sweet (Shelf Stable),1,0.00%,
S/O Fresh Fish Fillets/Steaks,1,0.00%,
Fresh Chicken - Portions,1,0.00%,
Baking/Cooking Mixes/Supplies Variety Packs,1,0.00%,
Fresh Meat,1,0.00%,
Rice & Grains,1,0.00%,
Fresh Pasta,1,0.00%,
Cakes/Slices/Biscuits,1,0.00%,
Frozen Chicken - Processed,1,0.00%,
Puddings and desserts,1,0.00%,
"Pickles, Relishes and Vinegar",1,0.00%,
