fdc_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1761728,1761728,1604669,488958,488956,580630,576234,1844547,1947057,1732531,677638,433151,1974210,1231108,1787115,1114280,1177852,488957,1227505,573451,951109,1291908,1695049,1162246,1426847,1212286,755438,1998253,1645256,1808487,1504488,1329930,679856,754006,1239972,419305,1181019,753740,1858317,1136677,1522010,407031,1520049,415670,754806,414234,415536,2177071,745894,556058,1234421
1983529,1983529,504360,1975099,435481,1413764,1909235,1983507,1354145,1315983,1774005,1428839,1999019,489694,1302866,1908281,1232177,2046620,1983447,1429220,2165967,1685148,1148303,1807570,1936590,1289237,1429032,442421,1943815,2178961,2071889,1236551,1977439,1738839,2204021,2043871,2192515,1744911,2170637,1983426,1983425,1039335,1925210,2045417,581907,1934609,1833046,1422480,1233564,1715309,2192230
758900,758900,1322913,1334331,1988309,1455885,1456348,2153530,404624,1095307,2196584,1076977,1972230,1780343,1669502,468283,2099241,553392,710614,1072975,553386,501855,585945,685676,757552,501854,1574208,1185433,2216313,371563,1971529,2184820,524862,601864,1488519,1492669,1341588,1455764,1631417,736178,1997253,1610359,2229754,639634,2169730,2219928,1628291,660334,1825828,2220486,761196
1824204,2139544,1824204,1143349,1792734,1814709,739118,1867579,1831369,1360405,522005,1830116,1545345,1984079,1987020,1805909,1734900,454832,1879493,2161050,1743526,1828710,2179510,481410,1517805,1689115,1093205,1828855,426843,1669028,2124476,1817911,1940301,682474,2193459,1025015,1744650,2033752,2162004,726938,561260,1539978,2192667,655614,1772267,1707599,1879265,1594755,1316807,1879607,490911
1119077,408200,1196925,1119077,1865749,534344,583153,2162309,737788,1729133,1298996,463165,495276,362967,1786585,414478,410980,2170282,1194971,560094,1687916,2212552,365095,1868467,1154713,2116243,2171375,1657263,501488,1774188,1330878,1282161,1416175,1041795,1890333,1413719,1487389,720828,580862,2171738,1905629,1173795,2109956,2022433,621402,382406,1653683,628892,1534189,1995590,1196717
721058,721058,1952930,1036563,1709831,1837412,2177673,743630,1669581,583151,2249506,1243972,1819141,2177649,1837406,2179855,414782,1896118,589784,1812774,1568145,1903751,535792,1226247,1903659,1703657,1130062,597917,454018,777286,1980338,1560444,1679993,1802765,1999008,1036561,1512419,1837556,1556795,1976532,1124149,1561320,1984194,1787915,709080,399657,390954,1932585,507537,2135223,2122274
1766879,1766879,1468902,365218,383902,1986248,519281,753710,1935342,1006157,1728307,1935587,2223943,2166601,1645181,1003577,1935351,1608567,754316,1346622,1726306,383799,2175718,1478754,1855318,2161657,462054,2066495,2121932,357769,1803800,1279278,1179076,1486809,488625,2239429,1434820,1982064,735344,369916,1120378,1869043,1322375,1489572,1681411,1558844,2120145,1892073,1835758,1677395,2122276
1584873,1584873,2082634,1292761,1738876,1134677,494576,1584877,1954538,674172,469524,1964741,1903677,400752,1940922,483058,1908747,2069680,2187678,1909020,416815,583625,1376429,1814553,2255317,435368,2256945,1346683,2082188,1829277,1044881,1985550,1333916,1987612,1829460,1830011,1044877,2038909,1126888,2170786,2061705,804461,1710232,1129815,1216050,1870795,735448,743588,1914960,1678991,1735659
1176424,1176424,2209395,2217261,1855839,1082139,1467150,1904099,1876291,1919718,761970,362052,1793686,1062171,1903472,1118027,1627689,2107575,503796,540635,2020365,761504,1532199,2035983,762860,486051,1948666,1749483,1434922,1873995,1517984,1789924,1837041,1457780,1167958,1168204,1470201,1879078,1535016,468877,1458175,1470638,1135629,1986743,1925615,1978070,539346,539048,1141103,1124230,1229125
1910914,1910914,430561,1762398,890768,619216,1987272,369368,1952697,2135088,1992704,1463520,2008395,416263,1513764,1700310,1133800,482055,1709559,550285,1812368,1811432,1522529,1076981,1226426,1723020,1107069,349222,1144066,1165891,775654,408212,427095,1633213,1876888,768240,1228250,1130219,1468948,418891,522809,1712650,1961194,1772595,1997181,1989787,1533439,2015864,398964,1604176,1189958
1622698,1622698,1576725,1538415,2047910,1728911,2237556,1944559,1337603,2179550,2053390,1725675,2219398,1854645,662702,1997120,1144794,1785907,1627439,587894,1137558,1725222,1936298,2075080,466684,461122,590979,1668559,1879388,1953104,1173787,2233688,2233702,2199924,2053399,2129981,1338028,1561333,1337604,1759976,2116878,2075017,436026,2131023,550908,755594,2089035,585894,363356,1248269,2066145
395442,395442,499730,1205510,1597646,1498071,1211166,776804,802773,2012613,1483223,399158,1211131,2029670,559500,696546,452813,1874420,708784,1567200,1180452,1875831,437467,418296,395490,1205594,1497629,1834905,1714143,2156095,1825904,2124323,1709545,1825257,1822871,1882585,401317,1497649,469358,1863227,452468,2031006,397538,2042675,1502709,1028065,1824671,469408,1973393,1060115,1562999
1024991,1024991,1997735,1407093,1206379,1836334,1611248,507414,1500162,1667201,1072297,523789,1192925,1581162,1322234,2091075,653168,1779998,1831137,1263763,459801,2064188,1139433,536930,960691,2100396,1811429,2222578,525705,1143032,752894,1421335,757690,752632,1966528,861308,1689276,930298,1148932,1645339,2092259,1898254,1273215,1736925,1464332,751102,1436057,2206716,411385,1599155,1148805
490378,1674630,490378,1814916,1814929,1145878,1474812,1748491,1768396,1426921,1946679,1408638,585073,1456531,759306,2230612,1506719,1506667,1150612,1384969,543451,545616,1111747,2106919,1674349,2235418,1221990,1758142,767386,1690209,2040248,595093,1829737,2056002,2232891,401880,1847996,2053955,1037931,655332,357018,2204755,1947433,1607395,517743,2130920,1174390,1628801,1486791,439531,446670
1144405,1144405,395035,379536,1853405,1872605,1033763,1482525,1977688,387864,530973,1917316,1326883,1384558,1528960,536989,536991,1631874,1881706,800397,1661050,2160256,1109300,436033,1859261,420014,1882660,2205286,1762912,2011360,568102,1090695,1486577,758014,1886768,2184983,2183682,1758067,382880,1922742,558016,531734,1761058,1479804,529915,1406574,2052030,1874666,546489,512626,1392174
601870,601870,1897992,704584,1951294,2193530,1376629,1152539,1994440,2178225,780680,655120,1966614,1950716,855474,1999118,446177,1990568,2193532,1736436,446161,2056105,1946386,684082,1128694,1136149,446173,2195665,1392773,1247506,1511555,446147,446178,534509,933412,2071175,1878999,887932,644634,763534,2142846,1664234,446191,584878,2178924,428417,934582,1392739,660916,591027,1249583
1730177,2190861,1282615,1137575,1200465,1730177,1224644,1981425,1894103,1390581,569995,1590555,514177,1715683,1333195,1968919,389622,2129846,2191054,680764,1200379,581090,2026435,1108316,1810765,1140132,1131140,356468,1041903,1079883,389535,1993507,2190860,1696823,1380628,1328077,1941843,498814,1985903,357501,574517,1366423,1492427,1262153,1650027,1620995,1262166,1492411,1200361,1955483,1195473
1269285,1269285,1132530,2213395,483442,1639105,1640533,454131,2194769,1699423,1802107,639680,1422549,1435875,761210,1264085,1402534,719528,588565,1423568,1254542,792863,516491,2031259,449316,603490,481174,2177377,730766,1986179,367331,1620684,1630877,1169846,1926769,531115,504867,1951987,1170949,1973548,410995,1726849,1256025,622824,521343,1582514,2215969,1190149,1907081,1855804,547022
1298265,1298265,890700,1426902,1784731,1397828,2149581,1558653,1738520,2099138,1129245,587236,1536456,646682,1717738,1948743,1043715,1028081,1864359,1698221,1923429,752510,1951843,540456,1187542,510961,2126947,1912611,1556872,1795152,1163050,514200,437457,1264111,1628927,400177,1613653,567379,543152,1114682,2036275,1749307,1173893,2069893,1740379,1949468,1293765,1270689,1350235,2181455,1561103
444834,444834,1543199,1298649,1054877,2195046,1778490,1538166,1518513,480487,1830915,1734304,1075351,708160,2133068,1421328,1422785,1385289,1632081,2124444,2185113,2219044,1042777,516281,1630137,566408,1219491,2201047,1536484,2237928,1890919,567559,2238133,480971,1577172,1708042,1889928,1801918,2056827,1742430,2078413,1087555,2185012,1674022,1748279,468249,1835099,1774902,1107613,2083002,1639747
2225444,2225444,1435414,1129170,2073381,1277340,1419982,755720,2128099,1750304,1956756,1389978,1956045,1085031,1472960,1761799,455622,1721074,536164,1835411,2161632,1409452,1997170,1126361,1137457,2162660,2101357,1996381,1804645,1741077,398452,478212,1709199,2157669,2164846,2095133,1962837,2145641,2176352,1261572,1924668,1736282,738594,2031885,2195894,1890935,764738,1581108,1303883,1139394,1095827
2100083,2100083,1282123,486926,1811874,1617315,1571681,1796015,1509865,1217806,2018807,1155599,1734321,1187998,1323090,2097632,1498753,2240749,1679648,2080689,1694323,681238,630114,409209,817416,586226,2082548,1073793,1923690,1678413,681244,1795812,2037660,1742061,560158,1039091,399631,2171687,2133621,409210,586712,1601412,1152533,2143023,2171686,1626669,1419669,1555475,2065864,399452,1721007
1110758,1110758,1651193,1118378,2027324,1868615,572785,1926167,1599771,1283276,1361366,1106196,1629175,1161771,1152049,1997431,2128010,1492415,2129219,1985578,545703,2137644,603885,1339460,1503794,1958291,414742,985125,1633852,2027771,1241255,1382584,1999266,2148111,1637651,425391,1801578,2118858,1828754,435229,1230064,2047503,2216122,566429,1924630,1818590,1896885,483567,556928,554681,2052805
398046,398046,2120590,1357888,1315067,2126281,448126,1671320,1435591,777906,1548063,1120025,1279686,1221977,1666220,450648,2033661,1514349,2040494,1082587,517680,534160,580910,1276293,1374003,581408,1373069,2237776,1514149,2128509,2040242,731478,1375992,1253454,2180522,584937,1784137,1568919,1784136,1185920,1922486,1622067,1907512,2193189,776882,1167679,1996308,1583209,2068840,1718697,518566
1785828,1785828,1399344,532923,641210,1264904,1740235,1985955,1502411,2187898,2165794,1893969,2108409,2108405,2180964,2011639,515139,451272,2132358,1780711,1071527,1818648,2175430,710462,1106051,1215366,756512,1303012,581192,438367,583009,756376,1303053,1870656,1378019,1173575,1325599,1264846,460135,1672425,2008462,1866283,1998815,1389728,1830474,1670201,2072781,1978156,1940286,1595110,755608
755280,755280,1303104,2088423,1815377,1124382,542342,1060317,1707109,1799677,1061325,2020629,2190796,1711572,2164084,1184352,1222995,1303060,1595847,2124984,2124675,651500,1327744,741502,2136055,1465272,1732660,1935987,1949765,1712466,544053,2174197,2040752,1726657,2155495,1652220,1893520,1780816,1797747,2151842,372832,2161509,1412401,510042,1080165,1349027,2088755,583426,1932879,1049991,1648072
1963747,1892276,1199713,1395770,1963747,1389471,1555643,777580,356442,1704456,1945659,1735866,1993501,1786461,1936112,1676341,469255,799925,1126419,1507196,1119712,498518,387222,1688026,1324457,1513986,1558691,1893992,1195080,1276428,371803,1190294,1573018,756214,1936111,2055840,1673579,1735868,718552,2099379,500256,1373559,1999437,1928951,403626,1296271,385570,2084542,500159,599607,1811644
1515641,1515641,520587,1745252,714304,650026,2104214,1662627,2144890,1116104,1661979,756482,1969211,2066341,1591779,2192056,572870,2198698,527163,643806,578526,756684,1309534,2035578,1878896,1687893,502343,1506388,2108470,754604,649386,1803681,2204354,649298,735102,1160168,1829716,649916,2210717,599745,2101123,649628,2040671,507756,2014914,376147,663242,2172484,1591421,477466,1661758
